src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52403,2800:3f0:4005:40c::200a,443,6,4,84,21,21,21.0,0.0,1669046134.362999,1669046179.472103,45.10910415649414,1.811981201171875e-05,45.10905194282532,15.036368052164713,21.264598707566563
2800:3f0:4005:40c::200a,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52403,6,2,64,32,32,32.0,0.0,1669046134.457752,1669046179.566783,45.109030961990356,45.109030961990356,45.109030961990356,45.109030961990356,0.0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,61556,2800:5f0:1000:10::2,53,17,1,42,42,42,42,0.0,1669046135.100104,1669046135.100104,0,0,0,0,0
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,61556,17,1,142,142,142,142,0.0,1669046135.106519,1669046135.106519,0,0,0,0,0
192.168.1.5,61557,190.110.215.2,53,17,1,62,62,62,62,0.0,1669046135.118523,1669046135.118523,0,0,0,0,0
192.168.1.5,61558,190.110.215.2,53,17,1,62,62,62,62,0.0,1669046135.118525,1669046135.118525,0,0,0,0,0
192.168.1.5,61559,200.105.225.2,53,17,1,62,62,62,62,0.0,1669046135.118575,1669046135.118575,0,0,0,0,0
192.168.1.5,61560,200.105.225.2,53,17,1,62,62,62,62,0.0,1669046135.118596,1669046135.118596,0,0,0,0,0
190.110.215.2,53,192.168.1.5,61558,17,1,186,186,186,186,0.0,1669046135.122284,1669046135.122284,0,0,0,0,0
190.110.215.2,53,192.168.1.5,61557,17,1,162,162,162,162,0.0,1669046135.122284,1669046135.122284,0,0,0,0,0
200.105.225.2,53,192.168.1.5,61559,17,1,162,162,162,162,0.0,1669046135.122284,1669046135.122284,0,0,0,0,0
192.168.1.5,52572,62.67.238.151,443,6,16,1677,40,557,104.8125,122.1941174678634,1669046135.12329,1669046135.832647,0.7093570232391357,2.09808349609375e-05,0.18159794807434082,0.047290468215942384,0.07732187140286621
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52573,2406:da00:ff00::22c0:3470,443,6,19,2086,20,543,109.78947368421052,155.03228151017228,1669046135.125376,1669046138.076743,2.951366901397705,3.2901763916015625e-05,1.664482831954956,0.16396482785542807,0.3846422078717478
2406:da00:ff00::22c0:3470,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52573,6,16,4947,20,1440,309.1875,472.5908932086504,1669046135.200447,1669046138.076514,2.8760669231414795,0.0,1.8444499969482422,0.19173779487609863,0.4710778280373115
62.67.238.151,443,192.168.1.5,52572,6,23,5450,40,1480,236.95652173913044,411.2406973453857,1669046135.290375,1669046136.003416,0.7130410671234131,0.0,0.17130804061889648,0.032410957596518776,0.06481727184107518
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,55374,2800:5f0:1000:10::2,53,17,1,43,43,43,43,0.0,1669046136.589805,1669046136.589805,0,0,0,0,0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,55374,2800:5f0:800:10::2,53,17,1,43,43,43,43,0.0,1669046136.622298,1669046136.622298,0,0,0,0,0
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,55374,17,1,127,127,127,127,0.0,1669046136.638228,1669046136.638228,0,0,0,0,0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52574,2406:da00:ff00::36ec:507a,443,6,9,1044,20,296,116.0,112.90802549961727,1669046136.645467,1669046137.262877,0.6174099445343018,0.004758119583129883,0.16705989837646484,0.07717624306678772,0.04889470512039503
2406:da00:ff00::36ec:507a,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52574,6,10,6714,20,1440,671.4,595.6131630513214,1669046136.720317,1669046137.166535,0.44621801376342773,0.0,0.1210319995880127,0.049579779307047524,0.0482371440722705
192.168.1.5,52495,13.107.5.93,443,6,3,123,41,41,41.0,0.0,1669046137.901756,1669046182.951724,45.049968004226685,2.002716064453125e-05,45.04994797706604,22.524984002113342,22.524963974952698
13.107.5.93,443,192.168.1.5,52495,6,2,104,52,52,52.0,0.0,1669046137.949082,1669046183.029751,45.08066916465759,45.08066916465759,45.08066916465759,45.08066916465759,0.0
54.175.191.203,443,192.168.1.5,61461,6,6,264,40,52,44.0,5.656854249492381,1669046138.228421,1669046202.108749,63.88032793998718,1.676023006439209,20.485223054885864,12.776065587997437,8.772050648597912
192.168.1.5,61461,54.175.191.203,443,6,11,444,40,41,40.36363636363637,0.4810456929208346,1669046138.228586,1669046202.034556,63.80596995353699,5.0067901611328125e-06,20.48520302772522,6.380596995353699,8.893317232133114
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,51586,2607:f8b0:400c:c11::bc,5228,6,3,63,21,21,21.0,0.0,1669046138.685405,1669046183.755336,45.06993103027344,2.3126602172851562e-05,45.069907903671265,22.53496551513672,22.534942388534546
2607:f8b0:400c:c11::bc,5228,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,51586,6,2,64,32,32,32.0,0.0,1669046138.753477,1669046183.828975,45.07549786567688,45.07549786567688,45.07549786567688,45.07549786567688,0.0
